name,description,id,total_episodes
#CyberChats,"A podcast for new and seasoned cyber fanatics, ages 11-18, that unlocks what hackers and hijackers don't want you to know. Listen in to learn from experts in the field on how to secure your data and celebrate success stories in our community of cyber heads. Complete cybersecurity challenges, get your original questions featured, and learn the language of cyber that you can use every day!",4e3OZBJUV9aogtJrdX2aeQ,4
Data & Analytics Forum,"O Data & Analytics Forum começou como um projeto para falar de transição de carreira para a área de dados com um canal no Youtube. Além do conteúdo que você encontra aqui — neste podcast — temos no Youtube workshops, bate-papos e mesas-redondas sobre conteúdos que envolvem a área de análises de dados e tecnologia.  Aqui no podcast, temos conteúdo sobre as novas profissões do mercado e algumas pílulas com dicas de cursos para você evoluir na sua carreira. Estamos também no Instagram, LinkedIn e Youtube e temos uma comunidade no WhatsApp & Telegram.",1hRzmOVdAtQMZwTEnraOfm,54
DIY Cyber Guy,"DIY Cyber Guy is for anyone that wants to keep hackers out of their computers. The DIY Cyber Guy, David W. Schropfer, interviews with the world's leading cyber security experts to give you easy-to-understand tips, tactics and tools to protect your invaluable data, and your irreplaceable reputation online.",68gmcybt3ceL2xxplSHibf,60
De Databar,"Welkom bij de Databar. De nieuwe Nederlandstalige podcast over Data Science. Robert van Straalen (Lead Data Scientist) en Berend Dumas (Senior Data Scientist) nemen je mee in de wereld van Data Science, ze bespreken wat hun opvalt, duiken af en toe de techniek in maar gaan vooral graag in gesprek met leuke gasten.",1htfqKm7gaMty0crGogbgt,9
Jason vs. The World,"The world is pretty scary. Disease, geopolitical instability, data thieves and hackers. It can feel really heavy sometimes. But, it doesn’t have to be that way. On this show, we explore the complex relationship between technology, culture, and conflict in an entertaining, thoughtful way.   Support this podcast: https://anchor.fm/jasonworld/support",1uyCP5PkF1QmW0QvHxnFYd,3
Data On Air,"Existe vida além das buzzwords. E se você é um entusiasta da tecnologia, fique à vontade. Quando falamos em dados, assunto é o que não falta.",4mpsDm26A4A1fet8KTtI7N,32
Security Economy,"Whether you want to be or not, you are now part of the security economy. Your personal and professional data has value; do you know who has it? Your data may even have a life of its own on the dark web; what does that mean? You are one of four billion people who use the internet globally. Every time you do so, you risk your personal and professional data being stolen. The internet was never built for privacy and security; those are add-ons. The world wide web wasn't used for commercial purposes until 1992. Before then, it had just been a collaboration tool between government researchers and the higher education community. The web was built for openness and collaboration - not security. Now in 2020, Gallup's data shows that Americans worry more about cyber crime than any other crime, and 71% worry about their personal data being hacked. How did we get here? Why are hackers so successful? If the world's largest companies can get hacked, what does that mean for small and medium businesses - and for you?In this podcast, we will investigate the trends driving cyber security into the future and explore the impacts to your personal privacy and security. Listen in every other week to a new piece of the puzzle of how human behavior, technology, and money are intersecting to make you more, or perhaps less, secure.",6wwXy0RdXQrFdhiHywQ4bM,18
Build a Career in Data Science,Build a Career in Data Science teaches you what data science courses leave out: from how to land your first job to the lifecycle of a data science project and even how to become a manager. This is a true how-to on obtaining and then navigating a data science career--filled with real stories from data scientists. This podcast is an extension of the similarly named book: Build a Career in Data Science.,78Nft51TuU3X2urEKfCuys,22
DornerWorks Security Highlight,"Global IP traffic first exceeded one zettabyte in 2016, and in 2020 alone, the world had approximately 44 zettabytes of data.  That is a lot of data and protecting any of it is a colossal task, especially while the sophisticated hackers and nation states searching for valuable data in cyberspace will hesitate at nothing to gain access to it.  At DornerWorks, we take these threats very seriously, and we want to talk about them with you. So, grab a coffee and join us for insightful conversations on cybersecurity in the monthly ""Security Highlight"" podcast and video series.",7mffw3WIgFHulCHdTYDGiL,14
Data Talks,Conversas interessantes e inspiradoras sobre o mundo dos dados.,5fqLLr5q3qmAaZL6mGaXpE,16
Ransomware Battleground,"Ransomware, CyberSecurity & Information Security Hackers, State Actors, OH MY!   Ransomware Battleground hosts, Syya Yasotornrat and Poul Frederiksen investigate the highly topical attacks that Ransomware and its ilk are ravaging organizations big and small today.   If you are a business or IT leader, you can enjoy a digestible conversation to stay on top of the attacks that your organization is always under potential threat. It can get technical, but we're here to put it into laymen's terms and help bring to light the very real dangers of our increasingly digitally dependent society.  Zero Trust may be one of many important layers to keeping your data and money safe!",43ijo61inr1utsCKYikN4N,22
DadosCast,"Um Podcast feito pela beAnalytic para quem tem curiosidade em aprender e entender mais sobre tecnologias, dados e de como elas estão presentes em nosso dia a dia.",3HHr4qVE23i9uUoIIhhbel,21
CISO Pro Files: A Security Current/CISOs Connect Podcast,"Are you a cyber security pro and want to hear what your peers are doing to safeguard their organizations? Or are you someone who wants to learn how the nation’s top cyber security pros are protecting your data against hackers or just human error? In these real-world conversations, the nation’s leading Chief Information Security Officers (CISOs) and their security, risk and privacy colleagues, in addition to top thought leaders, share what is top of mind for them. They discuss how their organizations, from the private sector, government and academia, are solving problems in the constantly changing security environment. They explore what is really keeping them up at night. Prepare to be enlightened, engaged, perhaps challenged and definitely informed while getting to know the pros who are responsible for it all.",6iMGEKiWQNTdL834aIjL84,2
Datagiller,Datagiller'e hoşgeldiniz!,6IewkmPPRZB5fTuClPVGbc,1
Breaking Breaches,"LMG Security's Sherri Davidoff and Matt Durrin discuss the world of hackers and bring you breaking news about high profile data breaches, ransomware attacks and cybercriminal extortion. ",7elQ2xTk2aK8w5k01NStya,4
Stack | Datacast,Um podcast para profissionais de dados.,66AZypmVZOXjFsbQXtsK9E,25
Security Sutra - Cybersecurity Startups and Venture Capital,"Security and cybersecurity are critical concerns for any modern business, and startups are no exception. In order to compete in the digital age, startups need to be aware of the latest security threats and have a plan to protect their data and systems. The Startuprad.io security and cybersecurity track is designed to help companies stay ahead of the curve. We interview entrepreneurs who are active in the space and bring you the latest news from the world of cyber security. Our goal is to help you keep your business safe from hackers and other online threats. Subscribe to our podcast to get all of our security and cybersecurity content. Learn more about us at https://startuprad.io/ | Startuprad.io™ - All rights r eserved  This podcast uses the following third-party services for analysis:   Podder - https://www.podderapp.com/privacy-policy Chartable - https://chartable.com/privacy",7FLCY3tq1AD0T5hppSU9mr,60
Datacast: Data & Analytics at Scale,Using data and analytics to create actionable insights at scale,4IHRPaeFmpqBVn2V6JOGD5,6
iPhone hacker,"Hiring hackers on the dark web to access iPhones, social media accounts, emails, and other data is becoming more popular. Learn how dark web hackers operate on our website.",6petTFkghTpXyHj1cmN2Ci,1
The Data Scientist Show,"A deep dive into data scientists' day-to-day work, tools and models they use, how they tackle problems, and their career journeys. This podcast helps you grow a successful career in data science. Listening to an episode is like having lunch with an experienced mentor. Guests are data science practitioners from various industries, AI researchers, economists, and CTOs of AI companies. Host: Daliana Liu, an ex-Amazon senior data scientist with 180k followers on Linkedin.  Join 20k subscribers at www.dalianaliu.com to learn more about data science, career, and this show. Twitter @DalianaLiu.",5b4GisxKJThRnRWaqRXmHw,61
Growth Hacks For SaaS Companies,"Growth hacking is the new “it” thing in marketing. It’s getting a lot of traction and a lot of attention from agencies. It can seem a bit daunting too. I remember when I first heard about growth hacking, I was really excited. Marketers who use data to drive their decisions? What could be better? So, what is growth hacking? Growth hackers are entrepreneurs who use data-driven customer acquisition.",3wErFvSdkjPgunI7yd6rrJ,1
Super Data Science Podcast with Jon Krohn,"The latest machine learning, A.I., and data career topics from across both academia and industry are brought to you by host Dr. Jon Krohn on the Super Data Science Podcast. As the quantity of data on our planet doubles every couple of years and with this trend set to continue for decades to come, there's an unprecedented opportunity for you to make a meaningful impact in your lifetime. In conversation with the biggest names in the data science industry, Jon cuts through hype to fuel that professional impact. Whether you're curious about getting started in a data career or you're a deep technical expert, whether you'd like to understand what A.I. is or you'd like to integrate more data-driven processes into your business, we have inspiring guests and lighthearted conversation for you to enjoy. We cover tools, techniques, and implementation tricks across data collection, databases, analytics, predictive modeling, visualization, software engineering, real-world applications, commercialization, and entrepreneurship − everything you need to crush it with data science.",1n8P7ZSgfVLVJ3GegxPat1,663
The Hacker Problem,Its about Personal Data also in videogames and the danges of losing your password to Hackers. At the End it gives a nice Fun Fact,3ZRkyuXBGBR3OedbBY62rq,1
Data Talk,"Vítejte u Data Talku! V našem podcastu vám chceme pravidelně přinášet zajímavý obsah z české a slovenské datové scény: rozhovory na odborná témata, představení relevantních datových firem, problémů a nástrojů, ale také aktuality z trhu.",5ml3gzdS6XvRJ7astaaqEQ,32
Security Economy,"Whether you want to be or not, you are now part of the security economy. Your personal and professional data has value; do you know who has it? Your data may even have a life of its own on the dark web; what does that mean? You are one of four billion people who use the internet globally. Every time you do so, you risk your personal and professional data being stolen. The internet was never built for privacy and security; those are add-ons. The world wide web wasn't used for commercial purposes until 1992. Before then, it had just been a collaboration tool between government researchers and the higher education community. The web was built for openness and collaboration - not security. Now in 2020, Gallup's data shows that Americans worry more about cyber crime than any other crime, and 71% worry about their personal data being hacked. How did we get here? Why are hackers so successful? If the world's largest companies can get hacked, what does that mean for small and medium businesses - and for you?In this podcast, we will investigate the trends driving cyber security into the future and explore the impacts to your personal privacy and security. Listen in every other week to a new piece of the puzzle of how human behavior, technology, and money are intersecting to make you more, or perhaps less, secure.",3BrfJFvcNJpqkE2vrCtKNb,18
