"ID_MARCA","MARCA","ID_LINHA","LINHA","DATA_VENDA","QTD_VENDA"
"3","QUEM DISSE BERENICE","1","CABELOS","12/22/2017","12"
"1","BOTICÁRIO","1","CABELOS","5/4/2017","19"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","10/7/2017","16"
"5","BELEZA NA WEB","5","HIDRATANTES","11/19/2017","6"
"4","VULT","3","MAQUIAGEM","7/18/2017","14"
"5","BELEZA NA WEB","4","SOLAR","9/5/2017","11"
"1","BOTICÁRIO","2","PERFUMARIA","9/12/2017","6"
"2","EUDORA","2","PERFUMARIA","11/6/2017","16"
"2","EUDORA","4","SOLAR","9/23/2017","1"
"4","VULT","3","MAQUIAGEM","12/1/2017","11"
"4","VULT","4","SOLAR","9/27/2017","14"
"4","VULT","4","SOLAR","7/6/2017","12"
"1","BOTICÁRIO","5","HIDRATANTES","3/5/2017","20"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","3/1/2017","18"
"2","EUDORA","1","CABELOS","4/2/2017","19"
"1","BOTICÁRIO","3","MAQUIAGEM","5/24/2017","3"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","3/11/2017","17"
"5","BELEZA NA WEB","5","HIDRATANTES","8/8/2017","1"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","9/17/2017","10"
"1","BOTICÁRIO","1","CABELOS","7/27/2017","9"
"4","VULT","3","MAQUIAGEM","8/9/2017","10"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","8/21/2017","19"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","6/22/2017","6"
"2","EUDORA","4","SOLAR","4/23/2017","20"
"4","VULT","1","CABELOS","4/8/2017","16"
"2","EUDORA","1","CABELOS","12/31/2017","7"
"2","EUDORA","3","MAQUIAGEM","9/15/2017","11"
"3","QUEM DISSE BERENICE","4","SOLAR","12/23/2017","3"
"5","BELEZA NA WEB","4","SOLAR","6/2/2017","11"
"2","EUDORA","2","PERFUMARIA","1/15/2017","11"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","1/25/2017","6"
"5","BELEZA NA WEB","3","MAQUIAGEM","1/2/2017","19"
"4","VULT","2","PERFUMARIA","1/23/2017","2"
"2","EUDORA","2","PERFUMARIA","12/18/2017","8"
"1","BOTICÁRIO","2","PERFUMARIA","3/24/2017","12"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","4/29/2017","14"
"4","VULT","2","PERFUMARIA","5/27/2017","6"
"4","VULT","4","SOLAR","3/19/2017","18"
"1","BOTICÁRIO","5","HIDRATANTES","4/15/2017","7"
"4","VULT","5","HIDRATANTES","12/17/2017","3"
"5","BELEZA NA WEB","2","PERFUMARIA","10/29/2017","20"
"1","BOTICÁRIO","2","PERFUMARIA","4/14/2017","11"
"4","VULT","1","CABELOS","4/12/2017","6"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","12/10/2017","4"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","8/3/2017","3"
"5","BELEZA NA WEB","2","PERFUMARIA","2/20/2017","5"
"2","EUDORA","2","PERFUMARIA","10/3/2017","19"
"5","BELEZA NA WEB","2","PERFUMARIA","3/14/2017","4"
"1","BOTICÁRIO","4","SOLAR","6/22/2017","17"
"5","BELEZA NA WEB","3","MAQUIAGEM","11/2/2017","17"
"1","BOTICÁRIO","1","CABELOS","2/24/2017","19"
"4","VULT","4","SOLAR","11/20/2017","8"
"1","BOTICÁRIO","2","PERFUMARIA","10/2/2017","5"
"5","BELEZA NA WEB","1","CABELOS","7/5/2017","13"
"2","EUDORA","4","SOLAR","8/11/2017","19"
"4","VULT","5","HIDRATANTES","9/12/2017","20"
"5","BELEZA NA WEB","3","MAQUIAGEM","12/3/2017","17"
"1","BOTICÁRIO","2","PERFUMARIA","4/16/2017","13"
"2","EUDORA","5","HIDRATANTES","8/2/2017","5"
"1","BOTICÁRIO","3","MAQUIAGEM","3/5/2017","18"
"3","QUEM DISSE BERENICE","4","SOLAR","7/4/2017","16"
"3","QUEM DISSE BERENICE","1","CABELOS","12/27/2017","9"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","1/16/2017","15"
"1","BOTICÁRIO","1","CABELOS","11/5/2017","4"
"4","VULT","1","CABELOS","4/4/2017","6"
"5","BELEZA NA WEB","4","SOLAR","12/16/2017","9"
"1","BOTICÁRIO","5","HIDRATANTES","5/17/2017","13"
"1","BOTICÁRIO","1","CABELOS","10/20/2017","16"
"2","EUDORA","4","SOLAR","7/16/2017","10"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","2/6/2017","20"
"5","BELEZA NA WEB","4","SOLAR","11/2/2017","4"
"4","VULT","3","MAQUIAGEM","4/25/2017","11"
"1","BOTICÁRIO","2","PERFUMARIA","11/14/2017","6"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","6/28/2017","12"
"2","EUDORA","5","HIDRATANTES","8/13/2017","10"
"1","BOTICÁRIO","4","SOLAR","4/1/2017","16"
"5","BELEZA NA WEB","3","MAQUIAGEM","9/30/2017","7"
"2","EUDORA","1","CABELOS","6/25/2017","14"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","11/26/2017","19"
"4","VULT","2","PERFUMARIA","11/29/2017","19"
"5","BELEZA NA WEB","2","PERFUMARIA","12/26/2017","1"
"5","BELEZA NA WEB","3","MAQUIAGEM","3/6/2017","15"
"1","BOTICÁRIO","2","PERFUMARIA","1/30/2017","20"
"5","BELEZA NA WEB","1","CABELOS","4/28/2017","7"
"4","VULT","3","MAQUIAGEM","2/2/2017","3"
"2","EUDORA","5","HIDRATANTES","4/9/2017","17"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","8/7/2017","14"
"1","BOTICÁRIO","2","PERFUMARIA","8/7/2017","5"
"4","VULT","2","PERFUMARIA","12/10/2017","1"
"4","VULT","1","CABELOS","4/16/2017","15"
"2","EUDORA","3","MAQUIAGEM","3/31/2017","11"
"1","BOTICÁRIO","3","MAQUIAGEM","12/24/2017","19"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","12/2/2017","1"
"2","EUDORA","5","HIDRATANTES","7/15/2017","3"
"5","BELEZA NA WEB","1","CABELOS","8/26/2017","14"
"2","EUDORA","2","PERFUMARIA","12/27/2017","9"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","1/23/2017","12"
"5","BELEZA NA WEB","3","MAQUIAGEM","9/10/2017","2"
"2","EUDORA","2","PERFUMARIA","12/13/2017","5"
"5","BELEZA NA WEB","1","CABELOS","12/27/2017","7"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","6/3/2017","5"
"5","BELEZA NA WEB","3","MAQUIAGEM","4/9/2017","3"
"5","BELEZA NA WEB","5","HIDRATANTES","2/23/2017","1"
"5","BELEZA NA WEB","5","HIDRATANTES","11/15/2017","2"
"4","VULT","5","HIDRATANTES","4/28/2017","13"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","1/9/2017","20"
"1","BOTICÁRIO","5","HIDRATANTES","10/3/2017","15"
"2","EUDORA","1","CABELOS","8/2/2017","14"
"5","BELEZA NA WEB","3","MAQUIAGEM","11/28/2017","17"
"1","BOTICÁRIO","3","MAQUIAGEM","12/1/2017","16"
"4","VULT","3","MAQUIAGEM","10/24/2017","20"
"5","BELEZA NA WEB","1","CABELOS","12/4/2017","4"
"2","EUDORA","4","SOLAR","11/2/2017","1"
"2","EUDORA","2","PERFUMARIA","7/16/2017","11"
"4","VULT","5","HIDRATANTES","7/8/2017","11"
"5","BELEZA NA WEB","2","PERFUMARIA","3/1/2017","19"
"5","BELEZA NA WEB","1","CABELOS","4/30/2017","11"
"4","VULT","2","PERFUMARIA","3/5/2017","9"
"5","BELEZA NA WEB","2","PERFUMARIA","3/6/2017","20"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","7/31/2017","5"
"5","BELEZA NA WEB","2","PERFUMARIA","9/19/2017","4"
"5","BELEZA NA WEB","1","CABELOS","12/22/2017","1"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","4/15/2017","4"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","10/25/2017","7"
"4","VULT","1","CABELOS","12/9/2017","1"
"1","BOTICÁRIO","4","SOLAR","6/7/2017","7"
"4","VULT","2","PERFUMARIA","1/5/2017","13"
"1","BOTICÁRIO","3","MAQUIAGEM","8/28/2017","2"
"3","QUEM DISSE BERENICE","4","SOLAR","6/20/2017","20"
"1","BOTICÁRIO","3","MAQUIAGEM","6/2/2017","10"
"5","BELEZA NA WEB","5","HIDRATANTES","10/15/2017","8"
"2","EUDORA","1","CABELOS","5/1/2017","10"
"2","EUDORA","2","PERFUMARIA","8/28/2017","18"
"1","BOTICÁRIO","3","MAQUIAGEM","11/16/2017","16"
"5","BELEZA NA WEB","4","SOLAR","5/23/2017","17"
"1","BOTICÁRIO","2","PERFUMARIA","3/29/2017","10"
"3","QUEM DISSE BERENICE","1","CABELOS","2/3/2017","15"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","8/6/2017","19"
"1","BOTICÁRIO","1","CABELOS","9/22/2017","16"
"2","EUDORA","5","HIDRATANTES","2/18/2017","10"
"5","BELEZA NA WEB","4","SOLAR","2/4/2017","2"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","11/15/2017","7"
"3","QUEM DISSE BERENICE","4","SOLAR","10/29/2017","17"
"5","BELEZA NA WEB","1","CABELOS","1/23/2017","7"
"5","BELEZA NA WEB","1","CABELOS","10/28/2017","4"
"2","EUDORA","4","SOLAR","3/27/2017","16"
"1","BOTICÁRIO","1","CABELOS","7/22/2017","20"
"1","BOTICÁRIO","5","HIDRATANTES","10/26/2017","5"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","9/10/2017","3"
"1","BOTICÁRIO","5","HIDRATANTES","12/14/2017","1"
"2","EUDORA","1","CABELOS","11/14/2017","5"
"4","VULT","2","PERFUMARIA","4/9/2017","16"
"1","BOTICÁRIO","5","HIDRATANTES","4/18/2017","3"
"1","BOTICÁRIO","4","SOLAR","12/3/2017","8"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","11/8/2017","12"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","11/4/2017","6"
"1","BOTICÁRIO","3","MAQUIAGEM","9/7/2017","3"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","11/1/2017","6"
"3","QUEM DISSE BERENICE","1","CABELOS","3/26/2017","5"
"1","BOTICÁRIO","1","CABELOS","12/1/2017","12"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","9/18/2017","1"
"1","BOTICÁRIO","5","HIDRATANTES","11/12/2017","5"
"4","VULT","4","SOLAR","12/16/2017","13"
"5","BELEZA NA WEB","1","CABELOS","3/3/2017","11"
"4","VULT","1","CABELOS","1/26/2017","14"
"4","VULT","1","CABELOS","1/24/2017","4"
"4","VULT","4","SOLAR","10/10/2017","6"
"5","BELEZA NA WEB","1","CABELOS","11/19/2017","18"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","9/18/2017","10"
"4","VULT","1","CABELOS","7/22/2017","2"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","2/6/2017","13"
"5","BELEZA NA WEB","4","SOLAR","2/8/2017","6"
"4","VULT","3","MAQUIAGEM","1/20/2017","20"
"3","QUEM DISSE BERENICE","1","CABELOS","10/23/2017","12"
"3","QUEM DISSE BERENICE","1","CABELOS","10/14/2017","20"
"2","EUDORA","5","HIDRATANTES","5/8/2017","7"
"1","BOTICÁRIO","2","PERFUMARIA","3/30/2017","8"
"5","BELEZA NA WEB","4","SOLAR","10/31/2017","4"
"4","VULT","5","HIDRATANTES","5/10/2017","5"
"5","BELEZA NA WEB","2","PERFUMARIA","3/28/2017","8"
"1","BOTICÁRIO","4","SOLAR","10/12/2017","13"
"1","BOTICÁRIO","2","PERFUMARIA","9/7/2017","11"
"4","VULT","4","SOLAR","6/17/2017","10"
"2","EUDORA","5","HIDRATANTES","4/3/2017","15"
"5","BELEZA NA WEB","4","SOLAR","10/11/2017","15"
"2","EUDORA","3","MAQUIAGEM","1/11/2017","9"
"4","VULT","2","PERFUMARIA","5/29/2017","12"
"3","QUEM DISSE BERENICE","4","SOLAR","11/3/2017","14"
"5","BELEZA NA WEB","5","HIDRATANTES","2/18/2017","1"
"5","BELEZA NA WEB","2","PERFUMARIA","8/8/2017","7"
"3","QUEM DISSE BERENICE","4","SOLAR","3/8/2017","18"
"1","BOTICÁRIO","2","PERFUMARIA","3/21/2017","2"
"1","BOTICÁRIO","4","SOLAR","10/25/2017","19"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","10/25/2017","19"
"4","VULT","4","SOLAR","9/2/2017","20"
"5","BELEZA NA WEB","2","PERFUMARIA","1/24/2017","14"
"1","BOTICÁRIO","2","PERFUMARIA","2/12/2017","4"
"1","BOTICÁRIO","4","SOLAR","1/19/2017","2"
"4","VULT","4","SOLAR","3/17/2017","3"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","3/30/2017","20"
"1","BOTICÁRIO","3","MAQUIAGEM","2/20/2017","14"
"1","BOTICÁRIO","4","SOLAR","10/29/2017","6"
"4","VULT","1","CABELOS","1/20/2017","16"
"1","BOTICÁRIO","1","CABELOS","3/20/2017","4"
"4","VULT","2","PERFUMARIA","6/19/2017","3"
"2","EUDORA","4","SOLAR","7/10/2017","10"
"1","BOTICÁRIO","1","CABELOS","10/28/2017","15"
"1","BOTICÁRIO","1","CABELOS","12/16/2017","20"
"2","EUDORA","2","PERFUMARIA","10/12/2017","3"
"5","BELEZA NA WEB","3","MAQUIAGEM","7/18/2017","10"
"5","BELEZA NA WEB","2","PERFUMARIA","4/10/2017","3"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","8/12/2017","13"
"4","VULT","3","MAQUIAGEM","9/6/2017","16"
"3","QUEM DISSE BERENICE","4","SOLAR","4/24/2017","9"
"1","BOTICÁRIO","5","HIDRATANTES","10/19/2017","20"
"5","BELEZA NA WEB","4","SOLAR","5/12/2017","16"
"4","VULT","4","SOLAR","4/10/2017","6"
"5","BELEZA NA WEB","1","CABELOS","5/12/2017","20"
"1","BOTICÁRIO","4","SOLAR","10/28/2017","18"
"5","BELEZA NA WEB","4","SOLAR","10/23/2017","2"
"4","VULT","1","CABELOS","11/15/2017","8"
"5","BELEZA NA WEB","5","HIDRATANTES","1/20/2017","15"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","6/8/2017","7"
"3","QUEM DISSE BERENICE","4","SOLAR","4/29/2017","1"
"1","BOTICÁRIO","1","CABELOS","7/17/2017","10"
"1","BOTICÁRIO","2","PERFUMARIA","2/19/2017","15"
"5","BELEZA NA WEB","5","HIDRATANTES","12/30/2017","13"
"4","VULT","3","MAQUIAGEM","5/1/2017","8"
"2","EUDORA","1","CABELOS","11/6/2017","20"
"1","BOTICÁRIO","4","SOLAR","10/22/2017","8"
"5","BELEZA NA WEB","5","HIDRATANTES","1/19/2017","1"
"1","BOTICÁRIO","3","MAQUIAGEM","8/14/2017","7"
"2","EUDORA","2","PERFUMARIA","4/28/2017","15"
"5","BELEZA NA WEB","5","HIDRATANTES","1/22/2017","3"
"5","BELEZA NA WEB","1","CABELOS","6/23/2017","16"
"1","BOTICÁRIO","4","SOLAR","4/25/2017","18"
"4","VULT","5","HIDRATANTES","5/7/2017","5"
"2","EUDORA","3","MAQUIAGEM","9/28/2017","20"
"4","VULT","5","HIDRATANTES","2/4/2017","6"
"4","VULT","4","SOLAR","2/21/2017","10"
"5","BELEZA NA WEB","1","CABELOS","3/15/2017","1"
"3","QUEM DISSE BERENICE","4","SOLAR","1/14/2017","8"
"5","BELEZA NA WEB","5","HIDRATANTES","10/27/2017","4"
"1","BOTICÁRIO","4","SOLAR","7/3/2017","10"
"4","VULT","4","SOLAR","10/7/2017","17"
"1","BOTICÁRIO","1","CABELOS","10/10/2017","7"
"5","BELEZA NA WEB","5","HIDRATANTES","7/11/2017","14"
"1","BOTICÁRIO","1","CABELOS","9/21/2017","17"
"4","VULT","4","SOLAR","3/15/2017","1"
"4","VULT","3","MAQUIAGEM","12/14/2017","14"
"1","BOTICÁRIO","5","HIDRATANTES","3/2/2017","14"
"5","BELEZA NA WEB","5","HIDRATANTES","4/25/2017","13"
"1","BOTICÁRIO","2","PERFUMARIA","8/24/2017","17"
"3","QUEM DISSE BERENICE","1","CABELOS","12/31/2017","13"
"1","BOTICÁRIO","3","MAQUIAGEM","6/26/2017","20"
"5","BELEZA NA WEB","4","SOLAR","12/12/2017","4"
"5","BELEZA NA WEB","2","PERFUMARIA","10/18/2017","6"
"4","VULT","5","HIDRATANTES","6/18/2017","15"
"5","BELEZA NA WEB","1","CABELOS","5/23/2017","1"
"2","EUDORA","2","PERFUMARIA","9/28/2017","11"
"1","BOTICÁRIO","1","CABELOS","4/19/2017","2"
"4","VULT","4","SOLAR","2/4/2017","8"
"3","QUEM DISSE BERENICE","4","SOLAR","1/17/2017","4"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","4/14/2017","2"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","3/21/2017","12"
"4","VULT","1","CABELOS","3/7/2017","10"
"5","BELEZA NA WEB","3","MAQUIAGEM","10/11/2017","4"
"1","BOTICÁRIO","1","CABELOS","4/8/2017","3"
"5","BELEZA NA WEB","5","HIDRATANTES","5/11/2017","11"
"3","QUEM DISSE BERENICE","1","CABELOS","5/23/2017","5"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","7/31/2017","4"
"1","BOTICÁRIO","2","PERFUMARIA","8/17/2017","7"
"5","BELEZA NA WEB","4","SOLAR","6/2/2017","14"
"5","BELEZA NA WEB","3","MAQUIAGEM","11/10/2017","10"
"5","BELEZA NA WEB","1","CABELOS","10/5/2017","16"
"4","VULT","3","MAQUIAGEM","8/4/2017","11"
"3","QUEM DISSE BERENICE","1","CABELOS","12/9/2017","11"
"5","BELEZA NA WEB","1","CABELOS","12/9/2017","19"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","7/9/2017","3"
"2","EUDORA","4","SOLAR","8/16/2017","15"
"4","VULT","2","PERFUMARIA","10/25/2017","5"
"5","BELEZA NA WEB","1","CABELOS","11/18/2017","9"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","12/21/2017","11"
"4","VULT","1","CABELOS","6/12/2017","12"
"2","EUDORA","3","MAQUIAGEM","1/12/2017","5"
"1","BOTICÁRIO","2","PERFUMARIA","4/22/2017","4"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","1/5/2017","1"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","7/5/2017","11"
"2","EUDORA","2","PERFUMARIA","10/17/2017","19"
"5","BELEZA NA WEB","3","MAQUIAGEM","8/5/2017","17"
"5","BELEZA NA WEB","4","SOLAR","9/28/2017","15"
"3","QUEM DISSE BERENICE","4","SOLAR","11/11/2017","1"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","1/10/2017","10"
"4","VULT","1","CABELOS","4/15/2017","18"
"5","BELEZA NA WEB","3","MAQUIAGEM","5/10/2017","6"
"4","VULT","2","PERFUMARIA","12/1/2017","6"
"4","VULT","3","MAQUIAGEM","6/11/2017","19"
"4","VULT","2","PERFUMARIA","10/23/2017","18"
"5","BELEZA NA WEB","3","MAQUIAGEM","12/4/2017","1"
"1","BOTICÁRIO","5","HIDRATANTES","12/25/2017","9"
"4","VULT","1","CABELOS","9/3/2017","20"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","11/30/2017","13"
"5","BELEZA NA WEB","3","MAQUIAGEM","1/17/2017","15"
"5","BELEZA NA WEB","1","CABELOS","4/2/2017","11"
"2","EUDORA","5","HIDRATANTES","5/23/2017","20"
"1","BOTICÁRIO","4","SOLAR","4/30/2017","15"
"4","VULT","1","CABELOS","8/3/2017","17"
"1","BOTICÁRIO","1","CABELOS","10/1/2017","15"
"2","EUDORA","3","MAQUIAGEM","4/26/2017","1"
"3","QUEM DISSE BERENICE","4","SOLAR","2/9/2017","8"
"5","BELEZA NA WEB","1","CABELOS","3/8/2017","7"
"2","EUDORA","2","PERFUMARIA","2/22/2017","19"
"5","BELEZA NA WEB","5","HIDRATANTES","8/17/2017","1"
"4","VULT","1","CABELOS","1/18/2017","16"
"2","EUDORA","3","MAQUIAGEM","3/31/2017","11"
"4","VULT","3","MAQUIAGEM","4/6/2017","15"
"4","VULT","2","PERFUMARIA","11/16/2017","12"
"2","EUDORA","2","PERFUMARIA","12/19/2017","18"
"1","BOTICÁRIO","5","HIDRATANTES","3/22/2017","10"
"5","BELEZA NA WEB","5","HIDRATANTES","7/24/2017","5"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","8/23/2017","17"
"3","QUEM DISSE BERENICE","1","CABELOS","3/7/2017","3"
"1","BOTICÁRIO","1","CABELOS","11/4/2017","15"
"4","VULT","2","PERFUMARIA","8/26/2017","6"
"2","EUDORA","4","SOLAR","11/15/2017","13"
"5","BELEZA NA WEB","5","HIDRATANTES","3/25/2017","10"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","8/13/2017","8"
"3","QUEM DISSE BERENICE","4","SOLAR","10/2/2017","20"
"1","BOTICÁRIO","1","CABELOS","11/9/2017","10"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","9/24/2017","15"
"5","BELEZA NA WEB","3","MAQUIAGEM","11/30/2017","13"
"5","BELEZA NA WEB","1","CABELOS","8/3/2017","2"
"3","QUEM DISSE BERENICE","2","PERFUMARIA","7/4/2017","10"
"5","BELEZA NA WEB","5","HIDRATANTES","10/26/2017","2"
"3","QUEM DISSE BERENICE","3","MAQUIAGEM","12/15/2017","2"
"3","QUEM DISSE BERENICE","4","SOLAR","6/17/2017","6"
"3","QUEM DISSE BERENICE","1","CABELOS","8/20/2017","2"
"5","BELEZA NA WEB","1","CABELOS","6/15/2017","8"
"4","VULT","4","SOLAR","6/9/2017","19"
"3","QUEM DISSE BERENICE","4","SOLAR","11/2/2017","14"
"1","BOTICÁRIO","2","PERFUMARIA","7/13/2017","7"
"2","EUDORA","1","CABELOS","11/12/2017","7"
"4","VULT","2","PERFUMARIA","7/5/2017","1"
"1","BOTICÁRIO","5","HIDRATANTES","6/22/2017","9"
"4","VULT","2","PERFUMARIA","2/3/2017","2"
"1","BOTICÁRIO","4","SOLAR","7/29/2017","16"
"2","EUDORA","4","SOLAR","3/29/2017","15"
"4","VULT","4","SOLAR","9/25/2017","2"
"3","QUEM DISSE BERENICE","1","CABELOS","7/26/2017","15"
"1","BOTICÁRIO","5","HIDRATANTES","7/31/2017","12"
"5","BELEZA NA WEB","5","HIDRATANTES","11/22/2017","18"
"1","BOTICÁRIO","4","SOLAR","8/30/2017","14"
"3","QUEM DISSE BERENICE","1","CABELOS","5/18/2017","9"
"1","BOTICÁRIO","4","SOLAR","2/10/2017","5"
"2","EUDORA","4","SOLAR","8/25/2017","10"
"5","BELEZA NA WEB","5","HIDRATANTES","2/6/2017","14"
"2","EUDORA","4","SOLAR","9/29/2017","12"
"1","BOTICÁRIO","3","MAQUIAGEM","3/6/2017","16"
"4","VULT","1","CABELOS","7/24/2017","1"
"3","QUEM DISSE BERENICE","4","SOLAR","3/5/2017","19"
"5","BELEZA NA WEB","4","SOLAR","12/3/2017","13"
"5","BELEZA NA WEB","5","HIDRATANTES","8/19/2017","11"
"5","BELEZA NA WEB","5","HIDRATANTES","12/10/2017","10"
"3","QUEM DISSE BERENICE","5","HIDRATANTES","9/8/2017","5"
